id,texto_usuario,categoria_esperada,categoria_predicha,multilabel_referencia,explicacion_referencia
1,Calculá cuántos días pasaron entre el 10/03/2024 y el 25/04/2024.,CALCULADORA,CALCULADORA,[CALCULADORA],La tarea principal es operar con fechas.
2,"Si una factura vence el 15/06/2024 y hoy es 02/06/2024, ¿cuántos días faltan?",CALCULADORA,CALCULADORA,[CALCULADORA],Requiere diferencia entre fechas.
3,"Sumá los importes 12500, 8700 y 19400, y decime el total.",CALCULADORA,CALCULADORA,[CALCULADORA],Operación aritmética directa.
4,Calculá el 21% de IVA sobre $340.000.,CALCULADORA,CALCULADORA,[CALCULADORA],Cálculo porcentual.
5,"Si pagamos 6 cuotas iguales por un total de $180.000, ¿cuánto es cada cuota?",CALCULADORA,CALCULADORA,[CALCULADORA],División simple.
6,Calculá cuántos días hábiles hay entre estas dos fechas.,CALCULADORA,CALENDARIO,[CALCULADORA],"Cálculo de calendario/hábiles, no agenda."
7,Revisá este documento y calculá cuánto tiempo pasó entre la notificación y el vencimiento.,METADATA,CALCULADORA,"[METADATA, CALCULADORA]",Primero hay que extraer fechas del documento.
8,Tomá las fechas del contrato adjunto y calculá la duración total del plazo.,METADATA,CALCULADORA,"[METADATA, CALCULADORA]",El cálculo depende de metadata documental.
9,"Con estos montos del expediente, calculá el promedio reclamado.",CALCULADORA,CALCULADORA,[CALCULADORA],La acción principal es calcular un promedio.
10,Convertí 48 horas a días y horas.,CALCULADORA,CALCULADORA,[CALCULADORA],Conversión matemática simple.
11,Extraé la fecha de vencimiento del documento adjunto.,METADATA,METADATA,[METADATA],Pide identificar un dato puntual del documento.
12,Decime quién firma esta resolución.,METADATA,METADATA,[METADATA],Busca metadata o entidad dentro del documento.
13,Identificá el número de expediente mencionado en el archivo.,METADATA,METADATA,[METADATA],Extracción de campo específico.
14,"Sacá la carátula, fecha, firmantes y número de actuación del documento.",METADATA,METADATA,[METADATA],Extracción estructurada de metadata.
15,Revisá si el documento tiene fecha de notificación.,METADATA,METADATA,[METADATA],Verificación de presencia de dato documental.
